date,open,high,low,close,adjusted_close,volume,warning
2024-11-25,141.99,142.05,135.82,136.02,135.9981,344941875,
2024-11-26,137.7,139.3,135.67,136.92,136.898,190287703,
2024-11-27,135.01,137.22,131.8,135.34,135.3182,226370891,
2024-11-29,136.78,139.35,136.05,138.25,138.2278,141863203,
2024-12-02,138.83,140.45,137.825,138.63,138.6077,171682797,
2024-12-03,138.26,140.54,137.95,140.26,140.2374,164414000,
2024-12-04,141.995,145.79,140.29,145.14,145.1167,231224297,
2024-12-05,145.11,146.54,143.95,145.06,145.0467,172621203,
2024-12-06,144.6,145.7,141.31,142.44,142.4269,188505594,
2024-12-09,138.97,139.95,137.13,138.81,138.7972,189308609,
2024-12-10,139.01,141.82,133.79,135.07,135.0576,210020891,
2024-12-11,137.36,140.17,135.21,139.31,139.2972,184905203,
2024-12-12,137.08,138.44,135.8,137.34,137.3274,159211391,
2024-12-13,138.94,139.6,132.54,134.25,134.2377,231514891,
2024-12-16,134.18,134.4,130.42,132.0,131.9879,237951109,
2024-12-17,129.09,131.59,126.86,130.39,130.378,259410297,
2024-12-18,133.86,136.7,128.28,128.91,128.8981,277444500,
2024-12-19,131.76,134.03,129.55,130.68,130.668,209719203,
2024-12-20,129.81,135.28,128.22,134.7,134.6876,306528594,
2024-12-23,136.28,139.79,135.1201,139.67,139.6572,176053500,
2024-12-24,140.0,141.9,138.65,140.22,140.2071,105157000,
2024-12-26,139.7,140.85,137.73,139.93,139.9171,116519102,
2024-12-27,138.55,139.02,134.71,137.01,136.9974,170582594,
2024-12-30,134.83,140.27,134.02,137.49,137.4774,167734703,
2024-12-31,138.03,138.07,133.83,134.29,134.2777,155659203,
2025-01-02,136.0,138.88,134.63,138.31,138.2973,198247203,
2025-01-03,140.01,144.9,139.73,144.47,144.4567,229322500,
2025-01-06,148.59,152.156,147.8201,149.43,149.4163,265377406,
2025-01-07,153.03,153.13,140.01,140.14,140.1271,351782219,
2025-01-08,142.58,143.95,137.56,140.11,140.0971,227349906,
2025-01-10,137.45,139.92,134.22,135.91,135.8975,207602500,
2025-01-13,129.99,133.49,129.51,133.23,133.2178,204808891,
2025-01-14,136.05,136.38,130.05,131.76,131.7479,195590500,
2025-01-15,133.65,136.45,131.29,136.24,136.2275,185217297,
2025-01-16,138.64,138.75,133.49,133.57,133.5577,209235594,
2025-01-17,136.69,138.5,135.4649,137.71,137.6973,201188797,
2025-01-21,139.16,141.83,137.09,140.83,140.8171,197748984,
2025-01-22,144.66,147.79,143.67,147.07,147.0565,237651391,
2025-01-23,145.05,147.23,143.72,147.22,147.2065,155915500,
2025-01-24,148.37,148.97,141.88,142.62,142.6069,234657594,
2025-01-27,124.8,128.4,116.7,118.42,118.4091,818830938,
2025-01-28,121.81,129.0,116.25,128.99,128.9781,579666438,
2025-01-29,126.5,126.89,120.05,123.7,123.6886,467120594,
2025-01-30,123.1,125.0,118.1,124.65,124.6385,392925500,
2025-01-31,123.78,127.85,119.19,120.07,120.059,390372906,
2025-02-03,114.75,118.57,113.01,116.66,116.6493,371235719,
2025-02-04,116.96,121.2,116.7,118.65,118.6391,256550000,
2025-02-05,121.76,125.0,120.76,124.83,124.8185,263110594,
2025-02-06,127.42,128.77,125.21,128.68,128.6682,251483594,
2025-02-07,129.22,130.37,125.0,129.84,129.8281,228186297,
2025-02-10,130.09,135.0,129.96,133.57,133.5577,216989109,
2025-02-11,132.58,134.48,131.02,132.8,132.7878,178902406,
2025-02-12,130.02,132.24,129.08,131.14,131.1279,160278594,
2025-02-13,131.555,136.5,131.17,135.29,135.2776,197430000,
2025-02-14,136.48,139.25,135.5,138.85,138.8372,195479594,
2025-02-18,141.27,143.44,137.925,139.4,139.3872,219176609,
2025-02-19,139.51,141.36,137.22,139.23,139.2172,167536000,
2025-02-20,140.03,140.66,136.7901,140.11,140.0971,143903594,
2025-02-21,140.04,141.46,134.03,134.43,134.4176,228217594,
2025-02-24,136.56,138.59,130.08,130.28,130.268,251381109,
2025-02-25,129.98,130.2,124.44,126.63,126.6184,271428719,
2025-02-26,129.985,133.73,128.49,131.28,131.2679,322553781,
2025-02-27,135.0,135.01,120.01,120.15,120.139,443175812,
2025-02-28,118.02,125.09,116.4,124.92,124.9085,389091094,Data is limited by one year as you have free subscription
